Afghanistan,295.36375
Albania,1743.2004
Algeria,3927.2263
Andorra,4617.1236
Angola,451.55162
Anguilla,8752.724
Antigua and Barbuda,6421.8745
Argentina,4237.8173
Armenia,2304.5583
Aruba,8133.404
Austria,6878.1943
Azerbaijan,3674.6833
Bahamas,5170.8703
Bahrain,25672.274
Bangladesh,596.4455
Barbados,4377.2573
Belarus,6166.9006
Belgium,7687.5386
Belize,1789.4346
Benin,631.487
Bermuda,6937.0627
Bhutan,1348.9918
Bolivia,1758.3066
Bonaire Sint Eustatius and Saba,4083.284
Bosnia and Herzegovina,6103.4565
Botswana,2838.951
Brazil,2245.4574
British Virgin Islands,5003.9577
Brunei,23950.201
Bulgaria,6804.4534
Burkina Faso,262.95447
Burundi,61.94545
Cambodia,1190.0775
Cameroon,342.92704
Canada,14249.212
Cape Verde,958.8915
Central African Republic,40.548485
Chad,133.67727
Chile,4304.1654
China,7992.761
Colombia,1922.3082
Comoros,493.27007
Congo,1244.7897
Cook Islands,3995.0094
Costa Rica,1522.6681
Cote d'Ivoire,416.68788
Croatia,4348.515
Cuba,1865.9163
Curacao,9189.007
Cyprus,5616.782
Czechia,9335.7525
Democratic Republic of Congo,36.375992
Denmark,4940.161
Djibouti,404.18932
Dominica,2105.8853
Dominican Republic,2105.1137
East Timor,498.69007
Ecuador,2311.7273
Egypt,2333.106
El Salvador,1217.4718
Equatorial Guinea,3030.7202
Eritrea,189.14719
Estonia,7776.28
Eswatini,1052.7312
Ethiopia,154.58965
Faroe Islands,14084.624
Fiji,1155.0449
Finland,6526.7396
France,4603.891
French Polynesia,2850.9297
Gabon,2388.2635
Gambia,284.7278
Georgia,2962.545
Germany,7983.7584
Ghana,621.5505
Greece,5745.1057
Greenland,10473.997
Grenada,2713.3646
Guatemala,1075.6185
Guinea,357.42033
Guinea-Bissau,155.18051
Guyana,4373.6935
Haiti,211.19381
Honduras,1069.6708
Hong Kong,4081.913
Hungary,4449.911
Iceland,9499.798
India,1996.6822
Indonesia,2645.6614
Iran,7799.3317
Iraq,4024.638
Ireland,7721.1185
Israel,6208.912
Italy,5726.825
Jamaica,2294.5588
Japan,8501.681
Jordan,2030.1995
Kazakhstan,13979.704
Kenya,459.98666
Kiribati,518.4742
Kosovo,4830.646
Kuwait,25578.102
Kyrgyzstan,1425.1612
Laos,3080.3475
Latvia,3561.689
Lebanon,4354.3963
Lesotho,1359.4668
Liberia,165.3753
Libya,9242.238
Liechtenstein,3809.7827
Lithuania,4606.163
Luxembourg,11618.432
Macao,1512.7679
Madagascar,148.71116
Malawi,102.62384
Malaysia,8576.508
Maldives,3247.5724
Mali,311.53768
Malta,3103.5979
Marshall Islands,3635.3714
Mauritania,957.337
Mauritius,3269.7906
Mexico,4015.3365
Micronesia,1324.3006
Moldova,1656.5942
Mongolia,11150.772
Montenegro,3655.8185
Montserrat,4844.7766
Morocco,1826.3615
Mozambique,242.74588
Myanmar,644.5672
Namibia,1539.9038
Nauru,4170.0416
Nepal,507.4035
Netherlands,7137.2175
New Caledonia,17641.167
New Zealand,6212.154
Nicaragua,798.79653
Niger,116.688
Nigeria,589.1771
Niue,3872.9508
North Korea,1951.3915
North Macedonia,3624.5701
Norway,7509.3055
Oceania,9851.79
Oman,15730.261
Pakistan,848.93465
Palau,12123.921
Palestine,666.0658
Panama,2699.258
Papua New Guinea,771.31313
Paraguay,1329.9496
Peru,1789.1879
Philippines,1301.4648
Poland,8106.886
Portugal,4050.785
Qatar,37601.273
Romania,3739.777
Russia,11416.899
Rwanda,112.346195
Saint Helena,3298.6484
Saint Kitts and Nevis,4708.081
Saint Lucia,2614.9206
Saint Pierre and Miquelon,10293.288
Saint Vincent and the Grenadines,2296.4725
Samoa,1121.8625
Sao Tome and Principe,581.6142
Saudi Arabia,18197.495
Senegal,673.8352
Serbia,6024.712
Seychelles,6149.5123
Sierra Leone,131.24847
Singapore,8911.513
Sint Maarten (Dutch part),14352.394
Slovakia,6051.555
Slovenia,5997.9916
Solomon Islands,412.32163
Somalia,36.76208
South Africa,6746.1643
South Korea,11598.764
South Sudan,168.0176
Spain,5164.4425
Sri Lanka,793.6504
Sudan,469.6261
Suriname,5802.9985
Sweden,3606.9093
Switzerland,4047.8554
Syria,1249.0375
Taiwan,11630.868
Tajikistan,1006.4901
Tanzania,237.71806
Thailand,3776.2568
Togo,291.0665
Tonga,1768.6282
Trinidad and Tobago,22423.758
Tunisia,2879.285
Turkey,5105.2055
Turkmenistan,11034.18
Turks and Caicos Islands,7636.793
Tuvalu,1000.4411
Uganda,127.44623
Ukraine,3557.8535
United Arab Emirates,25833.244
United Kingdom,4720.1805
United States,14949.616
Uruguay,2306.0381
Uzbekistan,3483.0604
Vanuatu,636.3055
Venezuela,2716.8686
Vietnam,3499.5174
Wallis and Futuna,2281.9076
Yemen,337.01748
Zambia,445.70068
Zimbabwe,542.628
World,4658.219